,admin id,time,category,sub category,amount,related unit,div,description
9,9,1397-10-08,Ghabz,Water,-438,"['id1', 'id8', 'id7', 'id6', 'id2', 'id9', 'id5', 'id3']",,
87,87,1397-10-18,nezafat,###,-255,"['id1', 'id6', 'id2', 'id8']",,
52,52,1397-10-18,Ghabz,gaz,-275,"['id1', 'id8']",,
88,88,1397-10-26,nezafat,###,-293,"['id6', 'id4', 'id2', 'id3', 'id8']",,
10,10,1397-11-09,Ghabz,Water,-346,"['id1', 'id5', 'id9', 'id3', 'id7', 'id6', 'id2', 'id8']",,
89,89,1397-11-17,nezafat,###,-276,"['id7', 'id6', 'id9', 'id2', 'id8', 'id5', 'id4']",,
34,34,1397-11-18,Ghabz,bargh,-119,"['id3', 'id9', 'id2', 'id5', 'id8', 'id10']",,
53,53,1397-11-27,Ghabz,gaz,-542,"['id5', 'id2', 'id7', 'id9', 'id4']",,
90,90,1397-12-03,nezafat,###,-276,"['id5', 'id7', 'id1', 'id6', 'id10', 'id8', 'id9', 'id3', 'id4', 'id2']",,
11,11,1397-12-05,Ghabz,Water,-381,"['id7', 'id5', 'id6', 'id4', 'id10', 'id8']",,
143,143,1397-12-13,other,###,-167,"['id8', 'id5', 'id10', 'id2', 'id6']",,
91,91,1397-12-14,nezafat,###,-289,"['id6', 'id5', 'id8', 'id2', 'id1', 'id4', 'id7', 'id9']",,
131,131,1397-12-25,tamirat,###,-228,"['id7', 'id4', 'id5', 'id6', 'id1', 'id8', 'id9', 'id2', 'id10', 'id3']",,
92,92,1397-12-26,nezafat,###,-275,"['id9', 'id3', 'id6', 'id2', 'id5', 'id8', 'id10', 'id7']",,
69,69,1398-01-05,Ghabz,avarez,-1545,"['id9', 'id7', 'id4', 'id2']",,
35,35,1398-01-06,Ghabz,bargh,-131,"['id8', 'id6', 'id4', 'id5', 'id7', 'id2', 'id9', 'id10', 'id3']",,
54,54,1398-01-07,Ghabz,gaz,-331,"['id7', 'id9', 'id10', 'id1', 'id8', 'id3', 'id5', 'id6']",,
12,12,1398-01-07,Ghabz,Water,-327,"['id7', 'id5', 'id4', 'id2', 'id10', 'id8']",,
93,93,1398-01-21,nezafat,###,-281,"['id1', 'id9', 'id2', 'id10', 'id3', 'id6', 'id5', 'id7']",,
94,94,1398-01-29,nezafat,###,-293,"['id10', 'id3', 'id1', 'id6', 'id2', 'id5', 'id7', 'id4', 'id9', 'id8']",,
144,144,1398-02-06,other,###,-157,"['id4', 'id8', 'id10', 'id2']",,
13,13,1398-02-10,Ghabz,Water,-212,"['id3', 'id10', 'id7', 'id5', 'id6', 'id2', 'id4', 'id9', 'id1']",,
132,132,1398-02-12,tamirat,###,-253,"['id7', 'id8', 'id10', 'id1', 'id9', 'id4', 'id5', 'id3', 'id6', 'id2']",,
55,55,1398-02-14,Ghabz,gaz,-487,"['id4', 'id2', 'id1', 'id5']",,
95,95,1398-02-17,nezafat,###,-310,"['id9', 'id2', 'id1', 'id6', 'id4', 'id8', 'id7', 'id5']",,
36,36,1398-02-23,Ghabz,bargh,-110,"['id1', 'id5', 'id4', 'id2', 'id8', 'id3', 'id9', 'id7']",,
121,121,1398-02-24,asansor,###,-909,"['id7', 'id9', 'id6', 'id10', 'id2', 'id1', 'id4', 'id5', 'id3', 'id8']",,
124,124,1398-02-31,parking,###,-408,"['id4', 'id9', 'id5', 'id1', 'id6', 'id2', 'id3', 'id8', 'id10', 'id7']",,
96,96,1398-03-01,nezafat,###,-284,"['id10', 'id6', 'id9', 'id8', 'id1', 'id7']",,
14,14,1398-03-09,Ghabz,Water,-451,"['id8', 'id6', 'id2']",,
97,97,1398-03-18,nezafat,###,-301,"['id1', 'id8', 'id10']",,
56,56,1398-03-22,Ghabz,gaz,-605,"['id3', 'id1', 'id10', 'id4']",,
98,98,1398-04-02,nezafat,###,-287,"['id6', 'id7', 'id1', 'id10', 'id5', 'id9', 'id3', 'id4', 'id8']",,
37,37,1398-04-02,Ghabz,bargh,-126,"['id7', 'id1', 'id4', 'id9', 'id2', 'id8', 'id3']",,
133,133,1398-04-03,tamirat,###,-338,"['id7', 'id10', 'id9', 'id8', 'id6', 'id2', 'id1', 'id4', 'id3', 'id5']",,
99,99,1398-04-08,nezafat,###,-298,"['id2', 'id1', 'id4', 'id5', 'id3', 'id6', 'id9', 'id8']",,
15,15,1398-04-08,Ghabz,Water,-329,"['id8', 'id3', 'id2', 'id5', 'id6', 'id9']",,
100,100,1398-04-26,nezafat,###,-301,"['id3', 'id9', 'id8', 'id4', 'id5', 'id10']",,
57,57,1398-05-04,Ghabz,gaz,-559,"['id2', 'id6', 'id8', 'id9', 'id7', 'id1', 'id3', 'id5', 'id10', 'id4']",,
16,16,1398-05-07,Ghabz,Water,-248,[],,
101,101,1398-05-17,nezafat,###,-300,"['id4', 'id9', 'id8', 'id5', 'id6']",,
38,38,1398-05-20,Ghabz,bargh,-132,"['id9', 'id7', 'id3', 'id10', 'id5', 'id2', 'id6', 'id4']",,
102,102,1398-05-27,nezafat,###,-292,"['id1', 'id3', 'id7']",,
145,145,1398-06-05,other,###,-167,"['id5', 'id1', 'id2', 'id4', 'id6', 'id9', 'id7']",,
17,17,1398-06-05,Ghabz,Water,-371,"['id2', 'id4']",,
134,134,1398-06-07,tamirat,###,-222,"['id1', 'id2', 'id9', 'id5', 'id8', 'id3', 'id10', 'id6', 'id4', 'id7']",,
58,58,1398-06-08,Ghabz,gaz,-717,"['id1', 'id7', 'id9', 'id5', 'id6', 'id2', 'id3', 'id8', 'id10']",,
103,103,1398-06-08,nezafat,###,-294,"['id7', 'id4', 'id6', 'id5', 'id8', 'id10']",,
104,104,1398-06-23,nezafat,###,-295,"['id8', 'id6', 'id7', 'id2', 'id10', 'id4', 'id5']",,
39,39,1398-06-30,Ghabz,bargh,-123,"['id2', 'id10', 'id4', 'id7']",,
18,18,1398-07-03,Ghabz,Water,-395,"['id9', 'id6', 'id3', 'id8', 'id1', 'id7', 'id4']",,
105,105,1398-07-09,nezafat,###,-319,"['id2', 'id5', 'id7', 'id6']",,
70,70,1398-07-12,Ghabz,avarez,-2628,"['id8', 'id10', 'id6', 'id5']",,
59,59,1398-07-16,Ghabz,gaz,-505,"['id8', 'id10']",,
106,106,1398-07-20,nezafat,###,-316,"['id5', 'id8', 'id3', 'id10', 'id6', 'id7']",,
19,19,1398-08-02,Ghabz,Water,-419,"['id7', 'id6', 'id3', 'id1', 'id2', 'id5', 'id4', 'id9', 'id10', 'id8']",,
107,107,1398-08-11,nezafat,###,-302,"['id9', 'id1', 'id5', 'id2', 'id7', 'id8']",,
40,40,1398-08-18,Ghabz,bargh,-120,"['id6', 'id2', 'id3', 'id10', 'id9']",,
146,146,1398-08-19,other,###,-169,"['id10', 'id6', 'id4', 'id1', 'id3', 'id8']",,
135,135,1398-08-20,tamirat,###,-159,"['id8', 'id9', 'id5', 'id3', 'id7', 'id1', 'id6', 'id4', 'id10', 'id2']",,
108,108,1398-08-27,nezafat,###,-301,"['id3', 'id2', 'id8', 'id9', 'id5', 'id7']",,
20,20,1398-09-01,Ghabz,Water,-282,"['id1', 'id3', 'id9', 'id2', 'id5', 'id8']",,
60,60,1398-09-03,Ghabz,gaz,-521,"['id2', 'id4', 'id8', 'id9']",,
147,147,1398-09-13,other,###,-174,"['id9', 'id2', 'id1', 'id8', 'id5', 'id10', 'id4']",,
109,109,1398-09-15,nezafat,###,-321,"['id5', 'id8', 'id2', 'id3', 'id7', 'id10', 'id9', 'id6', 'id4', 'id1']",,
122,122,1398-09-19,asansor,###,-4084,"['id7', 'id9', 'id4', 'id3', 'id1', 'id8', 'id2', 'id10', 'id6', 'id5']",,
110,110,1398-09-27,nezafat,###,-318,"['id4', 'id8']",,
21,21,1398-09-30,Ghabz,Water,-436,"['id9', 'id7', 'id3']",,
136,136,1398-09-30,tamirat,###,-393,"['id9', 'id1', 'id10', 'id8', 'id7', 'id5', 'id6', 'id3', 'id4', 'id2']",,
41,41,1398-10-02,Ghabz,bargh,-123,"['id5', 'id9', 'id1']",,
61,61,1398-10-08,Ghabz,gaz,-811,"['id7', 'id8', 'id10', 'id1', 'id5', 'id3', 'id9', 'id2', 'id4']",,
111,111,1398-10-12,nezafat,###,-316,"['id2', 'id7', 'id1', 'id6', 'id5', 'id10', 'id4', 'id8']",,
125,125,1398-10-21,parking,###,-14,"['id1', 'id9', 'id2', 'id5', 'id7', 'id8', 'id4', 'id10', 'id6', 'id3']",,
112,112,1398-10-30,nezafat,###,-316,"['id4', 'id10', 'id5', 'id9', 'id3']",,
22,22,1398-11-01,Ghabz,Water,-352,"['id9', 'id5', 'id6', 'id10', 'id8', 'id3']",,
113,113,1398-11-09,nezafat,###,-346,"['id7', 'id4', 'id8', 'id3', 'id1', 'id5', 'id2', 'id6']",,
42,42,1398-11-18,Ghabz,bargh,-157,"['id9', 'id10', 'id8', 'id2', 'id4']",,
62,62,1398-11-19,Ghabz,gaz,-499,"['id4', 'id3', 'id5', 'id1', 'id8']",,
114,114,1398-11-23,nezafat,###,-308,"['id1', 'id5']",,
23,23,1398-12-03,Ghabz,Water,-311,"['id2', 'id4', 'id5', 'id3']",,
115,115,1398-12-14,nezafat,###,-314,"['id5', 'id4', 'id10', 'id7', 'id3', 'id6', 'id9', 'id8', 'id1']",,
116,116,1398-12-27,nezafat,###,-377,"['id10', 'id3', 'id8', 'id4', 'id5']",,
24,24,1399-01-01,Ghabz,Water,-272,"['id5', 'id4', 'id1', 'id8', 'id2', 'id3', 'id6']",,
43,43,1399-01-01,Ghabz,bargh,-143,"['id8', 'id2', 'id6', 'id5', 'id1', 'id10', 'id4', 'id9', 'id3']",,
